test.a	test.b	first.obs.mean	first.pred.mean	nevol.obs.mean	nevol.pred.mean
0.63	0.53	16.1673678146248	72.7147858787353	47.46	5
0.64	0.53	21.4975855517114	Inf	46.45	5
0.65	0.53	22.2917091301327	76.7072858813207	46.48	5
0.66	0.53	21.0783101703814	75.2663181137265	46.43	5
0.67	0.53	20.028846925628	76.2941350709732	47.06	5
0.68	0.53	21.121605374017	74.5570599941166	45.2	5
0.69	0.53	19.8106586717151	Inf	45.2	5
0.7	0.53	21.4661807414898	75.5579557559982	45.51	5
0.71	0.53	22.2838558025529	78.0018044655509	44.29	5
0.72	0.53	21.2312906101954	Inf	44.9	5
0.73	0.53	23.9375507333677	Inf	42.75	5
0.74	0.53	23.6452106173834	80.0227641964867	43.17	5
0.75	0.53	24.8279543680218	Inf	42.41	5
0.76	0.53	22.3587864794659	80.1147279438443	41.48	5
0.77	0.53	23.623761135829	Inf	41.09	5
0.78	0.53	21.4938949275589	Inf	39.93	5
0.79	0.53	24.0881825941721	Inf	39.91	5
0.8	0.53	23.2857308336488	Inf	38.58	5
0.81	0.53	22.8589890134334	Inf	38.34	5
0.82	0.53	24.1587978435211	Inf	37.34	5
0.83	0.53	23.4990793566536	Inf	35.18	5
0.84	0.53	28.0924005232552	Inf	35.29	5
0.85	0.53	26.0252765416192	Inf	33.95	5
0.86	0.53	29.6605412937043	Inf	32.52	5
0.87	0.53	28.2434923484753	Inf	31.06	5
0.88	0.53	29.3509285131352	Inf	29.31	5
0.89	0.53	29.0297053911844	Inf	27.59	5
0.9	0.53	34.4220811966468	Inf	25.52	5
0.91	0.53	35.1419403748622	Inf	24.2	5
0.92	0.53	37.8410476780059	Inf	22.83	5
0.93	0.53	37.834589036021	Inf	20.95	5
0.94	0.53	39.5763108918396	Inf	18.19	5
0.95	0.53	44.5670519721697	Inf	15.56	5
0.96	0.53	46.3861896280828	Inf	12.76	5
0.97	0.53	49.5597361225306	Inf	10.11	5
0.98	0.53	62.052940967442	Inf	6.68	5
0.99	0.53	Inf	Inf	3.68	5
0.51	0.54	15.8518179345558	70.0828964357512	47.72	5
0.52	0.54	17.5869972159801	70.0782080277496	48.99	5
0.53	0.54	15.6701162183886	69.3948511043578	48.7	5
0.54	0.54	18.5635873983162	72.1592693219478	49.1	5
0.55	0.54	14.5633110539441	71.4807922590983	49.51	5
