trait	Rate1	Rate2	LogL	Lik.Root	First.Evol	Med.Evol	N.evol	N.origins	Origins	Dates.Origins
K01069	-0.000437775294431259	-0.000304382541711524	-486.411247714311	0.999713219240019	2084.966731	3721.316084	80	26	2481, 3529, 3548, 3595, 3607, 3615, 3618, 3621, 3625, 3642, 3651, 3672, 3697, 3719, 3742, 3782, 3888, 3953, 3955, 3985, 4083, 4116, 4124, 4327, 4401, 4438	2084.966731, 2927.97929, 3499.537011, 3373.177805, 3572.07189, 3911.051334, 3727.524005, 3708.715759, 3715.108163, 4067.005175, 4066.320993, 2781.821066, 3405.920958, 3528.522831, 3547.431514, 3740.836838, 3753.581999, 4038.161576, 3557.900386, 3683.354485, 3132.302295, 2601.043262, 2264.827823, 3176.304547, 2430.955609, 2413.732728
K01062	-2.54282928603771e-05	-0.00441028364136293	-47.9407513622636	0.998999999064063	1899.410578	3629.80979	147	5	2477, 4378, 4389, 4412, 4438	1899.410578, 2117.495262, 2702.50514, 3309.677093, 2413.732728
K01791	-0.000950151557183954	-0.000593813778617697	-665.757648305343	0.999073113857735	2117.495262	3717.359781	150	42	2492, 2605, 2676, 2803, 2819, 2828, 2850, 2863, 2869, 2876, 2884, 2885, 2892, 2895, 2929, 2954, 2968, 2976, 2981, 2984, 2993, 3251, 3298, 3355, 3364, 3374, 3486, 3497, 3500, 3522, 3529, 3539, 4124, 4327, 4378, 4389, 4401, 4441, 4458, 4474, 4484, 4500	3401.224986, 3753.857898, 3722.024644, 3956.460907, 3705.766511, 4049.339794, 4006.374182, 4062.603934, 4030.868666, 4027.498355, 3673.789949, 3896.826502, 3493.356543, 3632.044825, 3666.874661, 3409.19591, 3963.413297, 3547.351837, 3298.244635, 3171.131378, 2479.94467, 2699.935956, 2187.43326, 3308.627419, 3925.406733, 2942.54019, 2901.155046, 3629.80979, 4038.735084, 3556.2989, 2927.97929, 2194.887275, 2264.827823, 3176.304547, 2117.495262, 2702.50514, 2430.955609, 3443.105539, 4028.242078, 3496.135742, 3067.229666, 3567.640977
K01792	-5.80991498171557e-05	-0.000835307977312809	-217.599454518329	0.999332701245658	1416.658921	3527.635466	43	2	2475, 4400	1416.658921, 2223.35251
K01061	-0.000125478470694356	-0.000787004661448422	-422.859407988999	0.997724288151709	938.933978	3704.885539	59	2	2474, 4399	938.933978, 1903.089273
K01066	-0.000326316363309035	-0.00185628154564101	-521.02158727608	0.998972519542444	1809.157363	3704.885539	125	3	2476, 4389, 4399	1809.157363, 2702.50514, 1903.089273
K01067	-0.00017364465059203	-0.00159489853659335	-356.730523730743	0.99889890488287	938.933978	3649.07582	98	2	2474, 4400	938.933978, 2223.35251
K01796	-9.29772257343801e-05	-0.00132356094160575	-295.109522120894	0.998877829904217	938.933978	3614.9177015	80	3	2474, 4404, 4438	938.933978, 3720.972169, 2413.732728
K01797	-0.000150036027267018	-0.00268091481375208	-380.408190259384	0.998993165941564	1416.658921	3653.722029	110	3	2475, 4401, 4438	1416.658921, 2430.955609, 2413.732728
K05499	-0.000140142352913096	-0.00189418365314587	-284.285567468633	0.998939852798609	1416.658921	3582.126177	101	2	2475, 4400	1416.658921, 2223.35251
K14468	-8.2244982095256e-06	-4.23251062953471e-06	-23.2398298596161	0.999999967522058	3361.157165	3894.952322	3	3	2928, 3125, 4135	4018.395625, 3894.952322, 3361.157165
K14469	-1.02693720854324e-05	-1e-50	-29.1195719644678	1	3361.157165	3361.157165	1	1	4135	3361.157165
K14465	-3.14921219818664e-06	-0.00128080304923601	-20.0472843950898	0.996712023426104	938.933978	3398.368321	58	2	2474, 4399	938.933978, 1903.089273
K14466	-4.29123035764904e-06	-4.23062651744359e-06	-15.35099998747	0.999999967733277	3309.677093	3551.8368065	2	1	4412	3309.677093
K10834	-2.56161348643817e-05	-0.00135701171991353	-92.9300367137805	0.999036385475418	938.933978	3529.951093	72	5	2474, 4401, 4454, 4469, 4499	938.933978, 2430.955609, 3036.818164, 2659.638229, 3028.559449
K03793	-2.04026303126033e-05	-0.00114138775045957	-124.031991941067	0.997560037553351	938.933978	3403.1351535	54	3	2474, 4401, 4437	938.933978, 2430.955609, 2346.177378
K03790	-0.000124755841559468	-0.000920887214229749	-362.907479835496	0.999261545148439	938.933978	3513.902658	67	6	2474, 4401, 4454, 4475, 4495, 4499	938.933978, 2430.955609, 3036.818164, 3583.727302, 3992.136097, 3028.559449
K03791	-0.000184453164059927	-0.0049585051055435	-251.658364553257	0.998999999515248	2003.901286	3666.874661	177	5	2478, 4381, 4386, 4389, 4400	2003.901286, 3604.850173, 3518.374868, 2702.50514, 2223.35251
K03796	-5.43250441030644e-05	-0.000824306503279921	-176.135115531819	0.997817928271343	938.933978	3490.789421	44	3	2474, 4401, 4439	938.933978, 2430.955609, 2465.191362
K03797	-0.000184758073104121	-7.31342147290644e-05	-194.883804498131	0.999230472168344	938.933978	3968.301595	27	1	2474	938.933978
K03794	-4.99060377684606e-06	-0.00363375064789708	-20.0992788969037	0.998999896293853	938.933978	3581.167973	138	2	2474, 4399	938.933978, 1903.089273
K03795	-0.000172040269740489	-0.000533555442658905	-312.745498395005	0.998920542827861	1903.089273	3574.411852	64	25	2486, 2997, 3063, 3253, 3255, 3285, 3303, 3306, 3359, 3372, 3492, 3495, 3529, 3565, 3597, 3712, 3983, 4081, 4120, 4123, 4380, 4388, 4390, 4393, 4399	2997.72021, 3512.645451, 2708.509474, 3024.101613, 3075.619082, 3291.012415, 3500.651433, 2417.739993, 3574.804469, 3617.317535, 3221.483043, 2271.516757, 2927.97929, 4065.368728, 3854.253711, 3639.935258, 3621.312193, 2922.936458, 3032.214709, 2139.124812, 3194.258338, 3052.373083, 3611.519581, 3254.388044, 1903.089273
K03798	-4.74598515517602e-05	-3.3785675187396e-05	-90.5478403591788	0.998611761563154	938.933978	3878.438218	9	2	2474, 4433	938.933978, 2777.979482
K03799	-0.000419180846200662	-0.00030940035224743	-468.250495915067	0.998618584600957	1416.658921	3732.343706	78	3	2475, 4398, 4399	1416.658921, 3845.416488, 1903.089273
K12538	-3.37242747939188e-05	-0.00525195810854883	-70.9210037530342	0.998999999320488	1416.658921	3694.3108915	176	2	2475, 4399	1416.658921, 1903.089273
K12530	-5.05562831279177e-05	-0.00931928937457612	-86.2470253840265	0.999	938.933978	3700.434819	219	2	2474, 4399	938.933978, 1903.089273
K12531	-0.000113150945507107	-0.0149355904425107	-78.4589428140413	0.999	2030.180169	3823.344855	253	6	2479, 4123, 4378, 4389, 4398, 4400	2030.180169, 2139.124812, 2117.495262, 2702.50514, 3845.416488, 2223.35251
K12532	-3.71402144703511e-05	-0.00872192983471762	-77.7183817321673	0.998999999999996	1899.410578	3714.2329235	226	5	2477, 4378, 4389, 4401, 4437	1899.410578, 2117.495262, 2702.50514, 2430.955609, 2346.177378
K12536	-0.00014677527916619	-0.00518874953816439	-194.597471012438	0.998999999692778	938.933978	3699.71441	178	8	2474, 4404, 4413, 4425, 4433, 4440, 4469, 4499	938.933978, 3720.972169, 3630.537838, 3690.892653, 2777.979482, 2807.857168, 2659.638229, 3028.559449
K12537	-4.70174548466314e-05	-0.00650440708141456	-79.0535483764585	0.998999999997222	1809.157363	3677.952942	196	4	2476, 4391, 4393, 4399	1809.157363, 3942.090056, 3254.388044, 1903.089273
K03136	-2.34874029525202e-06	-4.79454966543012e-05	-14.1885289165976	0.99002468875751	1903.089273	1903.089273	1	1	4399	1903.089273
K09790	-0.000191080546440598	-0.00131540396021554	-531.011143415603	0.998674989640541	938.933978	3648.4728745	78	5	2474, 4415, 4421, 4440, 4468	938.933978, 3719.785863, 3714.057985, 2807.857168, 2536.349634
K09791	-1.12958606050306e-05	-0.000461418949935141	-262.567218640389	0.955746416354314	938.933978	3557.900386	17	2	2474, 4439	938.933978, 2465.191362
K09792	-6.77511627483731e-05	-0.000640997405850873	-288.335409010748	0.997227358658005	938.933978	3513.012655	36	4	2474, 4403, 4440, 4473	938.933978, 3337.348937, 2807.857168, 2779.358775
K09793	-2.92046375270442e-05	-0.0009850404351742	-278.555824043709	0.995465395993407	938.933978	3517.37658	31	2	2474, 4400	938.933978, 2223.35251
