trait	subtree	node	distance	cluster_size
26	282	4221	1.932223	3
26	287	4226	10.367345	3
26	289	4228	1.464513	4
26	317	4256	258.788582	27
26	686	4625	1.943585	2
27	1	3940	4399.9999982	3939
28	28	3967	45.421524	2
28	129	4068	15.842057	15
28	150	4089	1.193914	4
28	152	4091	1.370753	4
28	165	4104	5.711027	2
28	168	4107	5.6583628	3
28	175	4114	7.00795	4
28	180	4119	13.2651424	13
28	208	4147	5.049855	7
28	214	4153	4.283895	2
28	215	4154	2.414819	2
28	221	4160	25.890927	2
28	235	4174	14.657441	4
28	241	4180	1.111221	3
28	246	4185	1.939103	3
28	252	4191	8.709409	3
28	265	4204	1.60117	2
28	266	4205	50.2578374	3
28	289	4228	1.464513	4
28	418	4357	28.803019	2
