Name	GenomeName	Genome
2517473064		2517434012
2517479213		2517434013
2517554880		2517487019
2517560606		2517487020
2558308248		2517487021
2517570759		2517487022
2517647372		2517572024
2517691132		2517572073
2517697979		2517572074
2517707729		2517572076
2517745595		2517572096
2517748671		2517572098
2517759181		2517572101
2517783527		2517572108
2517786755		2517572109
2517789122		2517572110
2517791401		2517572111
2517796043		2517572112
2517798270		2517572113
2517800523		2517572114
2517802204		2517572115
2517805442		2517572116
2517809382		2517572117
2517811256		2517572118
2517814615		2517572119
2545824003		2517572120
2517820468		2517572121
2517830120		2517572123
2517834476		2517572124
2558308056		2517572136
2517872728		2517572137
2517887728		2517572143
2517905461		2517572145
2517905897		2517572146
2517911868		2517572147
2558308038		2517572148
2558308176		2517572150
2558308178		2517572151
2517937798		2517572152
2517953629		2517572155
2517958775		2517572156
2517964151		2517572157
2517969500		2517572158
2517979229		2517572160
2517984322		2517572161
2517989275		2517572162
2517994601		2517572163
2517999457		2517572164
2518030895		2517572174
2518032078		2517572175
2558308172		2517572189
2518085309		2517572190
2518087682		2517572194
2518132508		2517572208
2518147963		2517572210
2518152803		2517572211
2518158184		2517572212
2518158699		2517572213
2518165630		2517572214
2518170634		2517572217
2518172818		2517572218
2518181539		2517572221
2518185483		2517572222
2518214015		2517572231
2518225261		2517572233
2558308225		2517572235
2545824014		2517572236
2558308203		2517572237
2518241955		2517572238
2518242656		2517572239
2518251718		2517572240
2518252010		2517572241
2518254945		2517572242
2518264824		2517572243
2518265101		2517572244
2518273705		2517572245
2518274165		2517572246
2518278077		2517572247
2518285078		2517572248
2518362104		2518285526
2518368680		2518285527
2518372410		2518285528
2518374856		2518285529
2518376473		2518285530
2518380709		2518285531
2518381924		2518285532
2518385136		2518285533
2518387330		2518285534
2518397510		2518285535
2518404042		2518285537
2558308048		2518285548
2518442650		2518285549
2518447847		2518285550
2518453316		2518285551
2518458636		2518285552
2518463926		2518285553
2518469211		2518285554
2518474311		2518285555
2518486163		2518285558
2518491381		2518285559
2518496655		2518285560
2518501784		2518285561
2518506656		2518285562
2518511717		2518285563
2518620397		2518285603
2518632223		2518285608
2558308018		2518285615
2545824005		2518285616
2518739196		2518645527
2518910016		2518645583
2558308029		2518645585
2558308089		2518645586
2558308096		2518645587
2558308150		2518645588
2518936238		2518645589
2518948858		2518645591
2518953392		2518645592
2518981580		2518645598
2518991554		2518645600
2518996065		2518645601
2558308224		2518645602
2519001822		2518645603
2558308200		2518645604
2519009572		2518645605
2519014559		2518645607
2558308220		2518645608
2519021142		2518645609
2519031769		2518645611
2519032214		2518645612
2519038530		2518645613
2558308242		2518645614
2558308194		2518645615
2558308147		2518645616
2519053302		2518645617
2558308230		2518645619
2558308227		2518645620
2558308249		2518645621
2545824001		2518645623
2519087909		2518645624
2558308013		2518645625
2519096875		2518645626
2519102256		2518645627
2519139052		2519103012
2519139604		2519103013
2519142338		2519103014
2519153435		2519103016
2519184772		2519103025
2519191649		2519103027
2519261116		2519103046
2558308129		2519103178
2558308076		2519103180
2519826675		2519103182
2545824011		2519103183
2519833420		2519103184
2519841347		2519103185
2519842499		2519103186
2519845391		2519103187
2558308168		2519103188
2545824013		2519103189
2558308052		2519103190
2519862106		2519103191
2519868036		2519103192
2519873041		2519103193
2519878273		2519103194
2519883317		2519103195
2519939134		2519899509
2519948110		2519899511
2519956535		2519899515
2520006173		2519899518
2520068425		2519899539
2520433622		2519899631
2520433894		2519899632
2520443363		2519899633
2520445212		2519899634
2558308169		2519899635
2520455409		2519899636
2558308160		2519899638
2558308161		2519899639
2558308222		2519899640
2558308209		2519899641
2520487346		2519899644
2520491718		2519899645
2520494586		2519899646
2558308062		2519899647
2520502314		2519899648
2558308000		2519899649
2520518136		2519899651
2520529978		2519899653
2520534207		2519899654
2558308033		2519899659
2520553927		2519899666
2520556993		2519899667
2520563316		2519899668
2558308184		2519899669
2520571327		2519899670
2520573487		2519899671
2545824012		2519899672
2558308008		2519899678
2558308024		2519899679
2520594759		2519899680
2558308064		2519899681
2520603873		2519899682
2520607786		2519899683
2558308105		2519899684
2520616649		2519899685
2520621557		2519899687
2520627324		2519899688
2558308146		2519899689
2520631044		2519899690
2520634161		2519899691
2558308015		2519899692
2520639399		2519899693
2520641276		2519899694
2558308152		2519899695
2558308155		2519899696
2520648427		2519899697
2558308157		2519899698
2558308213		2519899699
2520937822		2519899771
2520953999		2519899776
2521384365		2521172540
2521387982		2521172542
2521389130		2521172543
2521391045		2521172544
2521437645		2521172559
2521441314		2521172560
2521447976		2521172561
2521450884		2521172563
2521519188		2521172577
2521613389		2521172611
2521628608		2521172614
2521629489		2521172615
2521639059		2521172618
2521650258		2521172620
2521657773		2521172622
2521668990		2521172624
2521684093		2521172626
2521702424		2521172629
2521703777		2521172630
