Trait	Anc	Des	Len	S.Anc	S.Des	R.Dist
Adipocytokine.signaling.pathway	3246	3247	244.203793	Off	On	4055.537229
Adipocytokine.signaling.pathway	3304	3305	277.886181	Off	On	3558.723269
Adipocytokine.signaling.pathway	3312	3313	166.256655	Off	On	3653.760578
Adipocytokine.signaling.pathway	3354	3355	702.348057	Off	On	3308.627419
Adipocytokine.signaling.pathway	3358	3359	1277.07353	Off	On	3574.804469
Adipocytokine.signaling.pathway	3369	3370	370.141213	Off	On	2823.222222
Adipocytokine.signaling.pathway	3374	3375	196.047127	Off	On	3138.587317
Adipocytokine.signaling.pathway	3391	3392	66.259186	Off	On	3706.288701
Adipocytokine.signaling.pathway	3391	3398	66.946886	Off	On	3706.976401
Adipocytokine.signaling.pathway	3374	3409	67.832283	Off	On	3010.372473
Adipocytokine.signaling.pathway	3427	3428	88.874046	Off	On	3443.243034
Adipocytokine.signaling.pathway	3427	3449	214.18538	Off	On	3568.554368
Adipocytokine.signaling.pathway	3369	3494	852.735663	Off	On	3305.816672
Adipocytokine.signaling.pathway	3495	3496	165.774507	Off	On	2437.291264
Adipocytokine.signaling.pathway	3542	3543	450.496045	Off	On	3142.765404
Adipocytokine.signaling.pathway	3623	3624	23.354134	Off	On	3585.696253
Adipocytokine.signaling.pathway	3633	3634	119.507092	Off	On	3777.624459
Adipocytokine.signaling.pathway	3639	3640	191.391919	Off	On	3957.110164
Adipocytokine.signaling.pathway	3644	3645	37.524837	Off	On	3749.228558
Adipocytokine.signaling.pathway	3650	3651	176.896597	Off	On	4066.320993
Adipocytokine.signaling.pathway	3632	3652	55.370455	Off	On	3708.232847
Adipocytokine.signaling.pathway	3658	3659	11.522163	Off	On	3884.992427
Adipocytokine.signaling.pathway	3623	3670	388.204426	Off	On	3950.546545
Adipocytokine.signaling.pathway	3671	3672	310.380485	Off	On	2781.821066
Adipocytokine.signaling.pathway	3683	3684	232.056685	Off	On	3947.595808
Adipocytokine.signaling.pathway	3689	3690	305.40714	Off	On	3877.248039
Adipocytokine.signaling.pathway	3695	3696	77.591427	Off	On	2699.134245
Adipocytokine.signaling.pathway	3888	3889	306.970247	Off	On	4060.552246
Adipocytokine.signaling.pathway	3898	3899	65.117622	Off	On	4056.188961
Adipocytokine.signaling.pathway	3897	3903	37.265286	Off	On	4017.477085
Adipocytokine.signaling.pathway	3784	3953	496.667497	Off	On	4038.161576
Adipocytokine.signaling.pathway	3955	3956	358.592679	Off	On	3916.493065
Adipocytokine.signaling.pathway	3963	3964	5.714233	Off	On	4047.794033
Adipocytokine.signaling.pathway	3981	3982	40.373951	Off	On	4068.135462
Adipocytokine.signaling.pathway	3954	3983	101.57761	Off	On	3621.312193
Adipocytokine.signaling.pathway	4017	4018	2.837466	Off	On	4067.362393
Adipocytokine.signaling.pathway	4061	4062	102.17438	Off	On	4064.036168
Adipocytokine.signaling.pathway	3540	4081	570.511401	Off	On	2922.936458
Adipocytokine.signaling.pathway	4085	4087	37.181062	Off	On	3272.028259
Adipocytokine.signaling.pathway	4088	4090	492.775169	Off	On	3965.242346
Adipocytokine.signaling.pathway	3539	4116	406.155987	Off	On	2601.043262
Adipocytokine.signaling.pathway	4145	4146	81.405221	Off	On	3845.491922
Adipocytokine.signaling.pathway	4227	4228	56.994284	Off	On	4028.693794
Adipocytokine.signaling.pathway	4327	4328	92.540061	Off	On	3268.844608
Adipocytokine.signaling.pathway	4400	4401	207.603099	Off	On	2430.955609
Adipocytokine.signaling.pathway	4414	4416	106.015021	Off	On	3793.99652
Adipocytokine.signaling.pathway	4440	4454	228.960996	Off	On	3036.818164
Adipocytokine.signaling.pathway	4469	4470	1045.24731	Off	On	3704.885539
Adipocytokine.signaling.pathway	4473	4474	716.776967	Off	On	3496.135742
Adipocytokine.signaling.pathway	4484	4485	425.936598	Off	On	3493.166264
Adipocytokine.signaling.pathway	4488	4489	70.596128	Off	On	3768.57894
African.trypanosomiasis	2473	2474	938.933978	Off	On	938.933978
African.trypanosomiasis	2491	2492	11.09692	Off	On	3401.224986
African.trypanosomiasis	2589	2590	170.89285	Off	On	3866.775288
African.trypanosomiasis	2659	2660	39.331042	Off	On	3156.287701
African.trypanosomiasis	2845	2847	1.703337	Off	On	3991.556193
African.trypanosomiasis	2863	2864	4.207959	Off	On	4066.811893
African.trypanosomiasis	2929	2930	298.294567	Off	On	3965.169228
African.trypanosomiasis	2944	2945	87.688395	Off	On	3468.338043
African.trypanosomiasis	2659	2953	93.026824	Off	On	3209.983483
African.trypanosomiasis	2984	2985	732.010991	Off	On	3903.142369
African.trypanosomiasis	2994	2995	166.903472	Off	On	3168.031911
African.trypanosomiasis	2996	3022	73.283378	Off	On	3507.777058
African.trypanosomiasis	3104	3105	669.508632	Off	On	3782.050025
African.trypanosomiasis	3114	3115	145.591019	Off	On	3484.352634
African.trypanosomiasis	3189	3190	50.177959	Off	On	3955.150624
African.trypanosomiasis	3186	3194	45.54048	Off	On	3891.640747
African.trypanosomiasis	3202	3205	31.152923	Off	On	3898.927623
African.trypanosomiasis	3257	3261	190.73745	Off	On	3462.415612
African.trypanosomiasis	3278	3279	93.715811	Off	On	3977.229326
African.trypanosomiasis	3310	3311	144.651169	Off	On	3284.049577
African.trypanosomiasis	3306	3314	133.8001	Off	On	2551.540093
African.trypanosomiasis	3362	3364	46.739085	Off	On	3925.406733
African.trypanosomiasis	3372	3373	113.056851	Off	On	3730.374386
African.trypanosomiasis	3371	3374	68.726368	Off	On	2942.54019
African.trypanosomiasis	3496	3499	87.757856	Off	On	2525.04912
African.trypanosomiasis	3523	3524	81.321458	Off	On	3793.197753
African.trypanosomiasis	3535	3536	568.70243	Off	On	3665.05615
African.trypanosomiasis	3542	3557	222.010741	Off	On	2914.2801
African.trypanosomiasis	3563	3564	53.151441	Off	On	3714.407862
African.trypanosomiasis	3572	3573	100.367744	Off	On	4067.168648
African.trypanosomiasis	3671	3672	310.380485	Off	On	2781.821066
African.trypanosomiasis	3687	3688	188.326879	Off	On	3364.618886
African.trypanosomiasis	3713	3714	81.115076	Off	On	3791.573274
African.trypanosomiasis	3769	3775	305.797494	Off	On	3423.558837
African.trypanosomiasis	3787	3788	87.422032	Off	On	3737.266175
African.trypanosomiasis	3985	3986	167.398796	Off	On	3850.753281
African.trypanosomiasis	4053	4054	60.45447	Off	On	3774.881332
African.trypanosomiasis	4084	4097	66.642741	Off	On	3268.063099
African.trypanosomiasis	4109	4110	426.311534	Off	On	4062.000862
African.trypanosomiasis	4126	4127	912.251226	Off	On	3626.77984
African.trypanosomiasis	4125	4132	144.879998	Off	On	2675.019033
African.trypanosomiasis	4143	4144	116.538736	Off	On	3703.421168
African.trypanosomiasis	4143	4151	255.441131	Off	On	3842.323563
African.trypanosomiasis	4164	4169	97.354431	Off	On	3793.69744
African.trypanosomiasis	4207	4208	52.714805	Off	On	3635.378378
African.trypanosomiasis	4366	4367	223.73246	Off	On	3872.031696
African.trypanosomiasis	2473	4399	1903.089273	Off	On	1903.089273
African.trypanosomiasis	4438	4439	51.458634	Off	On	2465.191362
African.trypanosomiasis	4475	4477	63.80829	Off	On	3647.535592
Alanine..aspartate.and.glutamate.metabolism	2475	2476	392.498442	Off	On	1809.157363
Alanine..aspartate.and.glutamate.metabolism	2479	2480	31.930156	Off	On	2062.110325
Alanine..aspartate.and.glutamate.metabolism	2482	2483	31.151912	Off	On	2175.24293
Alanine..aspartate.and.glutamate.metabolism	2492	2493	29.237462	Off	On	3430.462448
Alanine..aspartate.and.glutamate.metabolism	2494	2496	412.39875	Off	On	3863.659566
