trait; Rate1; Rate2; LogL; Lik.Root; First.Evol; Med.Evol; N.evol; N.origins; Origins; Dates.Origins
K00928; -0.00288554478291802; -0.000234324063839474; -581.406438110602; 0.998999953121144; 2449.429427; 4237.772738; 223; 2; 3941, 4019; 3065.384304, 2449.429427
K00929; -0.000109004692524304; -0.0016330088622828; -483.348893108901; 0.998900254231515; 2449.429427; 4143.6274555; 84; 2; 3984, 4019; 4250.113737, 2449.429427
K00930; -0.00232893184216585; -0.000368965218804319; -916.661483145981; 0.99900109836481; 2960.419703; 4272.485109; 237; 10; 3941, 4024, 7479, 7485, 7491, 7498, 7512, 7518, 7550, 7557; 3065.384304, 2960.419703, 3290.274617, 3307.380468, 3711.219552, 4259.454771, 3845.156671, 3536.312507, 4217.761546, 3137.347316
K00931; -0.00211573096425699; -0.000428045768903373; -978.72708145132; 0.99900331677771; 2743.244779; 4265.778962; 233; 7; 3952, 3967, 3971, 3994, 4020, 7559, 7560; 4111.699479, 4354.578476, 4238.028289, 4235.548216, 2743.244779, 4388.360577, 3728.445634
K00932; -5.78013468894804e-05; -0.0169315952890148; -84.3413790563247; 0.999; 2766.855443; 4264.8778845; 540; 4; 3941, 4021, 7551, 7557; 3065.384304, 2766.855443, 4268.52369, 3137.347316
K00933; -3.59611654483324e-06; -0.00374567639965891; -26.1903966706104; 0.998999782053511; 2449.429427; 4134.108357; 165; 2; 3941, 4019; 3065.384304, 2449.429427
K00934; -1.75413038032677e-05; -0.00165435415103167; -62.1167926717368; 0.999011096569787; 2743.244779; 4012.084159; 59; 2; 3943, 4020; 3335.837017, 2743.244779
K00937; -0.000998902457330374; -0.000578369196915608; -1025.02720327442; 0.999032093502245; 2743.244779; 4243.064924; 147; 2; 3943, 4020; 3335.837017, 2743.244779
K00938; -0.000142909867123603; -0.00293072158659927; -426.421483773056; 0.999000059031235; 2449.429427; 4157.424603; 155; 3; 3943, 4016, 4019; 3335.837017, 3975.52317, 2449.429427
K00939; -0.174865137103239; -0.00289105793470081; -325.638293096791; 0.999; 2766.855443; 4336.181432; 931; 4; 3941, 4021, 7550, 7557; 3065.384304, 2766.855443, 4217.761546, 3137.347316
K00940; -0.00118004541485324; -0.000253022062957309; -727.363799791005; 0.998974681531364; 2743.244779; 4210.119916; 135; 3; 3941, 4020, 7557; 3065.384304, 2743.244779, 3137.347316
K00941; -0.00344146332263574; -0.00103629795370632; -1443.32511624493; 0.999000000321547; 2449.429427; 4245.001104; 374; 2; 3941, 4019; 3065.384304, 2449.429427
K00942; -0.000237655226286924; -0.000131570661656384; -454.187020705472; 0.999126155428202; 2449.429427; 4369.7899245; 26; 1; 4019; 2449.429427
K00943; -0.000279692302628017; -0.000190652894499187; -585.115284420061; 0.997388209110705; 2449.429427; 4346.3578905; 32; 2; 3941, 4019; 3065.384304, 2449.429427
K00945; -0.000558286200537634; -0.000181104732929683; -532.018476536995; 0.998599614310602; 2449.429427; 4223.3407405; 40; 2; 3941, 4019; 3065.384304, 2449.429427
K00946; -0.000335917944996952; -0.00024281177780128; -626.024025089269; 0.998171709959243; 2449.429427; 4211.476974; 61; 2; 3941, 4019; 3065.384304, 2449.429427
K00948; -0.165386778468559; -0.00274483977988977; -327.854816349382; 0.999; 2743.244779; 4336.374639; 960; 3; 3941, 4020, 7557; 3065.384304, 2743.244779, 3137.347316
K00949; -0.000164589148741818; -0.000486906850846761; -573.337978714648; 0.998846802460355; 2743.244779; 4117.695045; 51; 3; 4005, 4011, 4020; 4152.131764, 3923.371133, 2743.244779
K00950; -0.000386518181323905; -0.000349875381621466; -806.72098430304; 0.998908868829672; 2449.429427; 4328.358991; 53; 1; 4019; 2449.429427
K00951; -0.00184043144243082; -0.000167993018627209; -666.631715340172; 0.999020953693689; 2449.429427; 4223.488413; 146; 2; 4010, 4019; 3424.599876, 2449.429427
K00952; -5.87549350375811e-05; -0.000127082347645486; -172.707103506402; 0.99854501919553; 3065.384304; 4167.368777; 21; 14; 3941, 4883, 5496, 5557, 5563, 5564, 5574, 5580, 6090, 6148, 6777, 7453, 7491, 7512; 3065.384304, 4395.277332, 3870.9775, 4175.504756, 4069.961278, 3977.755256, 3808.06441, 4314.410618, 4199.768021, 4333.811658, 3740.866063, 4265.523675, 3711.219552, 3845.156671
K00954; -0.00106163636891147; -0.000142502530338357; -502.340295131641; 0.999130335471089; 2449.429427; 4302.813368; 65; 1; 4019; 2449.429427
K00955; -0.000453300409920137; -0.00198946570739985; -1089.47621765052; 0.998999633759153; 2449.429427; 4241.884669; 164; 2; 3941, 4019; 3065.384304, 2449.429427
K00956; -0.000355684017907147; -0.00134112274879523; -1027.73151176806; 0.999005883054007; 2743.244779; 4265.844415; 139; 5; 3946, 4012, 4015, 4020, 7557; 3586.646752, 4190.360998, 4134.091712, 2743.244779, 3137.347316
K00957; -0.000502892779488651; -0.000912587761474603; -1173.38967666875; 0.999021991890037; 2449.429427; 4254.668429; 120; 2; 3944, 4019; 3413.096445, 2449.429427
K00958; -0.000219215640399683; -0.000919927109543883; -705.311539109994; 0.998651120597724; 2449.429427; 4173.2062175; 88; 2; 3941, 4019; 3065.384304, 2449.429427
K00962; -0.00044667241163029; -0.000126511959666955; -472.152405568225; 0.999279439355881; 2449.429427; 4351.956127; 22; 1; 4019; 2449.429427
K00963; -0.000326012276740193; -0.000451249638905847; -818.953265671073; 0.998795440828216; 2449.429427; 4161.273712; 49; 5; 3994, 4005, 4011, 4014, 4019; 4235.548216, 4152.131764, 3923.371133, 3870.326616, 2449.429427
K00965; -0.000790249070978606; -0.00183492723287377; -1343.31790307539; 0.998998497440375; 2449.429427; 4238.7046635; 214; 3; 3942, 4016, 4019; 3306.421142, 3975.52317, 2449.429427
K00966; -0.00041319881642543; -0.00166513678239454; -949.431406887564; 0.998993257166857; 2449.429427; 4235.198349; 147; 3; 3942, 4016, 4019; 3306.421142, 3975.52317, 2449.429427
K00968; -0.000671703483727391; -0.0411609511128101; -263.695450206069; 0.999; 2449.429427; 4298.705574; 675; 3; 3942, 4016, 4019; 3306.421142, 3975.52317, 2449.429427
K00969; -0.000766014990179839; -0.000187621744122578; -570.386040043329; 0.999132475202498; 2449.429427; 4225.230525; 57; 1; 4019; 2449.429427
K00970; -0.000117226062492502; -0.000340766177634036; -567.186280831599; 0.998000957778888; 2449.429427; 4127.8455625; 30; 1; 4019; 2449.429427
K00971; -0.00174230187281058; -0.00106715324418044; -1645.42127998329; 0.999000346996669; 2449.429427; 4263.222151; 265; 2; 3941, 4019; 3065.384304, 2449.429427
K00972; -3.69578398955175e-05; -0.0022549438702277; -164.712507035449; 0.998971157010567; 2449.429427; 4134.215819; 99; 4; 3944, 4010, 4014, 4019; 3413.096445, 3424.599876, 3870.326616, 2449.429427
K00973; -0.00863834488418357; -0.00203884835483937; -1756.22834131265; 0.999; 2449.429427; 4272.43486; 563; 2; 3941, 4019; 3065.384304, 2449.429427
K00974; -0.000332179546264329; -0.000275098076550159; -704.361211029242; 0.998927157590932; 2449.429427; 4275.110398; 69; 2; 3967, 4019; 4354.578476, 2449.429427
K00975; -0.000931840656090947; -0.00123082601663028; -1416.78393757196; 0.998997251079755; 2449.429427; 4266.6170765; 200; 2; 3941, 4019; 3065.384304, 2449.429427
K00978; -0.00844104156423091; -0.0282215984237751; -1942.18792748211; 0.999; 2766.855443; 4302.571452; 712; 4; 3941, 4021, 7550, 7557; 3065.384304, 2766.855443, 4217.761546, 3137.347316
K00979; -0.000219478417771536; -0.000236352067167304; -580.33839493899; 0.999024428648446; 2449.429427; 4263.0045795; 44; 3; 3991, 4000, 4019; 4254.749344, 4392.402183, 2449.429427
K00980; -0.000994791478871839; -0.00663969132480032; -1299.60294701176; 0.998999999999999; 2960.419703; 4245.001866; 392; 7; 3941, 4024, 7477, 7514, 7518, 7553, 7557; 3065.384304, 2960.419703, 2985.507326, 4283.452423, 3536.312507, 4354.985676, 3137.347316
K00981; -0.000804036213529848; -0.000127704640825111; -476.744978261286; 0.999223457949709; 2449.429427; 4294.005682; 49; 1; 4019; 2449.429427
K00983; -0.00262067312569298; -0.00734110281995013; -1873.46175830354; 0.999; 2743.244779; 4280.120681; 514; 3; 3941, 4020, 7557; 3065.384304, 2743.244779, 3137.347316
K00988; -5.79593224611837e-05; -0.00191009681360224; -208.922166619524; 0.999004114202136; 2985.507326; 4107.017312; 96; 6; 3944, 4026, 6779, 6844, 7477, 7518; 3413.096445, 3001.359665, 3074.062284, 3288.172019, 2985.507326, 3536.312507
K00990; -1.07260887080064e-05; -0.000578112426147231; -564.253754189976; 0.985412157708931; 2449.429427; 4242.6568615; 16; 2; 3993, 4019; 3956.534353, 2449.429427
K00991; -0.000448926726724723; -0.000482800846843029; -924.408062179166; 0.998910564288993; 2449.429427; 4289.3320815; 84; 3; 3992, 4005, 4019; 4208.911659, 4152.131764, 2449.429427
K00992; -0.000810789176949537; -0.0105102344139574; -1262.49576003807; 0.999; 2766.855443; 4238.932774; 450; 6; 3943, 4014, 4016, 4021, 7550, 7557; 3335.837017, 3870.326616, 3975.52317, 2766.855443, 4217.761546, 3137.347316
K00995; -0.00162082639906006; -0.000365174030346115; -1068.57691558508; 0.999006397118396; 2743.244779; 4306.1628815; 166; 8; 3949, 3985, 3992, 3994, 4006, 4010, 4020, 7557; 4022.34928, 4230.436632, 4208.911659, 4235.548216, 4300.060535, 3424.599876, 2743.244779, 3137.347316
K00997; -0.000439654249485355; -0.000544984592956184; -946.644041356631; 0.998899815607552; 2449.429427; 4170.7604745; 94; 6; 3953, 3982, 3984, 3991, 4010, 4019; 4169.015251, 4161.358086, 4250.113737, 4254.749344, 3424.599876, 2449.429427
K00998; -6.51147870380443e-05; -0.00217661380948466; -285.254661546479; 0.999002108133029; 2766.855443; 4123.302966; 129; 7; 3946, 4008, 4010, 4014, 4021, 7558, 7560; 3586.646752, 4234.065109, 3424.599876, 3870.326616, 2766.855443, 4015.591685, 3728.445634
K00999; -1.36191975605848e-05; -0.00265606230380557; -55.382542721047; 0.999000476380536; 2449.429427; 4156.957374; 116; 2; 3941, 4019; 3065.384304, 2449.429427
K01000; -0.000275678577988094; -0.000116217252551465; -416.316856695331; 0.999239032773962; 2449.429427; 4375.4765155; 18; 2; 4005, 4019; 4152.131764, 2449.429427
K01001; -4.16516969781577e-06; -0.000994790957903917; -42.1535842201521; 0.988266412167143; 3065.384304; 4093.856405; 31; 28; 3941, 4280, 4432, 4463, 4744, 5135, 5570, 5635, 5652, 5718, 5979, 6141, 6298, 6434, 6443, 6460, 6468, 6565, 6771, 6788, 6805, 7357, 7453, 7471, 7479, 7489, 7492, 7557; 3065.384304, 4240.325179, 4146.809997, 3854.859001, 4093.856405, 4217.212453, 3799.627634, 4293.200023, 3975.83756, 4122.062634, 4208.09328, 4159.351744, 4349.978028, 4298.789907, 4257.709631, 4061.673169, 4101.348643, 4153.678726, 3426.559587, 3631.961544, 3170.87276, 4118.397752, 4265.523675, 3991.074787, 3290.274617, 3494.408214, 3076.40482, 3137.347316
K01003; -0.00130620462042648; -0.0154422312695953; -1112.15579624092; 0.999; 2743.244779; 4280.6797715; 542; 3; 3941, 4020, 7557; 3065.384304, 2743.244779, 3137.347316
